Бренд;Предмет;Код размера (chrt_id);Артикул поставщика;Артикул WB;Цвет;Размер;Баркод;Розничная цена, руб;Цена Закупки;Поставщик;Остаток
Banzaron;Футболки-поло;125748800;ban-futb-poloбелый;74499707;Белый;48;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748801;ban-futb-poloбелый;74499707;Белый;50;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748802;ban-futb-poloбелый;74499707;Белый;52;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748803;ban-futb-poloбелый;74499707;Белый;54;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748804;ban-futb-poloбелый;74499707;Белый;56;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748805;ban-futb-poloбелый;74499707;Белый;58;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748806;ban-futb-poloбелый;74499707;Белый;60;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748807;ban-futb-poloбордовый;74499708;Бордовый;48;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748808;ban-futb-poloбордовый;74499708;Бордовый;50;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748809;ban-futb-poloбордовый;74499708;Бордовый;52;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748810;ban-futb-poloбордовый;74499708;Бордовый;54;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;125748811;ban-futb-poloбордовый;74499708;Бордовый;56;2,02836E+12;1870;350;;
Banzaron;Футболки-поло;129731645;ban-futb-poloсерый;77520778;Серый;48;2,03023E+12;1870;350;;
Banzaron;Футболки-поло;129731646;ban-futb-poloсерый;77520778;Серый;50;2,03023E+12;1870;350;;
Banzaron;Футболки-поло;129731647;ban-futb-poloсерый;77520778;Серый;52;2,03023E+12;1870;350;;
Banzaron;Футболки-поло;129731648;ban-futb-poloсерый;77520778;Серый;54;2,03023E+12;1870;350;;
Banzaron;Футболки-поло;129731649;ban-futb-poloсерый;77520778;Серый;56;2,03023E+12;1870;350;;
Banzaron;Футболки-поло;129731650;ban-futb-poloсерый;77520778;Серый;58;2,03023E+12;1870;350;;
Banzaron;Футболки-поло;129731651;ban-futb-poloсерый;77520778;Серый;60;2,03023E+12;1870;350;;
Banzaron;Ремни;109348860;ban-remантрацитовый;61696232;Антрацитовый;120;2,0197E+12;1238;350;;
Banzaron;Ремни;108823193;ban-remчерный;61299692;Черный;120;2,01956E+12;1238;350;;
Banzaron;Рубашки;104299342;ban-rubбелый;57575824;Белый;L;2,01768E+12;1839;550;;
Banzaron;Рубашки;104299343;ban-rubбелый;57575824;Белый;M;2,01768E+12;1839;550;;
Banzaron;Рубашки;104299344;ban-rubбелый;57575824;Белый;S;2,01768E+12;1839;550;;
Banzaron;Рубашки;104299345;ban-rubбелый;57575824;Белый;XL;2,01768E+12;1839;550;;
Banzaron;Рубашки;104299346;ban-rubбелый;57575824;Белый;XS;2,01768E+12;1839;550;;
Banzaron;Рубашки;104299347;ban-rubбелый;57575824;Белый;XXL;2,01768E+12;1839;550;;
Banzaron;Рубашки;110575989;ban-rubчерный;62627351;Черный;L;2,02015E+12;1839;550;;
Banzaron;Рубашки;110575990;ban-rubчерный;62627351;Черный;M;2,02015E+12;1839;550;;
Banzaron;Рубашки;110575991;ban-rubчерный;62627351;Черный;S;2,02015E+12;1839;550;;
Banzaron;Рубашки;110575992;ban-rubчерный;62627351;Черный;XL;2,02015E+12;1839;550;;
Banzaron;Рубашки;110575993;ban-rubчерный;62627351;Черный;XS;2,02015E+12;1839;550;;
Banzaron;Рубашки;110575994;ban-rubчерный;62627351;Черный;XXL;2,02015E+12;1839;550;;
Banzaron;Костюмы спортивные;115943028;Ban-sp-kost-2ts-бежевый;66845950;Бежевый;46;2,02251E+12;4650;1000;;
Banzaron;Костюмы спортивные;115943029;Ban-sp-kost-2ts-бежевый;66845950;Бежевый;48;2,02251E+12;4650;1000;;
Banzaron;Костюмы спортивные;115943030;Ban-sp-kost-2ts-бежевый;66845950;Бежевый;50;2,02251E+12;4650;1000;;
Banzaron;Костюмы спортивные;115943031;Ban-sp-kost-2ts-бежевый;66845950;Бежевый;52;2,02251E+12;4650;1000;;
Banzaron;Костюмы спортивные;115943032;Ban-sp-kost-2ts-бежевый;66845950;Бежевый;54;2,02251E+12;4650;1000;;
Banzaron;Костюмы спортивные;115943033;Ban-sp-kost-2ts-бежевый;66845950;Бежевый;56;2,02251E+12;4650;1000;;
Banzaron;Костюмы спортивные;114893118;Ban-sp-kost-2ts-оливковый;65981894;оливковый;46;2,02199E+12;4650;1000;;
Banzaron;Костюмы спортивные;114893119;Ban-sp-kost-2ts-оливковый;65981894;оливковый;48;2,02199E+12;4650;1000;;
Banzaron;Костюмы спортивные;114893120;Ban-sp-kost-2ts-оливковый;65981894;оливковый;50;2,02199E+12;4650;1000;;
Banzaron;Костюмы спортивные;114893121;Ban-sp-kost-2ts-оливковый;65981894;оливковый;52;2,02199E+12;4650;1000;;
Banzaron;Костюмы спортивные;114893122;Ban-sp-kost-2ts-оливковый;65981894;оливковый;54;2,02199E+12;4650;1000;;
Banzaron;Костюмы спортивные;114893123;Ban-sp-kost-2ts-оливковый;65981894;оливковый;56;2,02199E+12;4650;1000;;
Banzaron;Костюмы;117348130;Ban-spkost-let-бежевый;67988873;Бежевый;46;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348131;Ban-spkost-let-бежевый;67988873;Бежевый;48;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348132;Ban-spkost-let-бежевый;67988873;Бежевый;50;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348133;Ban-spkost-let-бежевый;67988873;Бежевый;52;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348134;Ban-spkost-let-бежевый;67988873;Бежевый;54;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348135;Ban-spkost-let-бежевый;67988873;Бежевый;56;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348136;Ban-spkost-let-фисташковый;67988874;фисташковый;46;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348137;Ban-spkost-let-фисташковый;67988874;фисташковый;48;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348138;Ban-spkost-let-фисташковый;67988874;фисташковый;50;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348139;Ban-spkost-let-фисташковый;67988874;фисташковый;52;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348140;Ban-spkost-let-фисташковый;67988874;фисташковый;54;2,02293E+12;4650;1000;;
Banzaron;Костюмы;117348141;Ban-spkost-let-фисташковый;67988874;фисташковый;56;2,02293E+12;4650;1000;;
Banzaron;Костюмы;121905045;Ban-spkost-let-черный;71712245;Черный;46;2,02677E+12;4650;1000;;
Banzaron;Костюмы;121905046;Ban-spkost-let-черный;71712245;Черный;48;2,02677E+12;4650;1000;;
Banzaron;Костюмы;121905047;Ban-spkost-let-черный;71712245;Черный;50;2,02677E+12;4650;1000;;
Banzaron;Костюмы;121905048;Ban-spkost-let-черный;71712245;Черный;52;2,02677E+12;4650;1000;;
Banzaron;Костюмы;121905049;Ban-spkost-let-черный;71712245;Черный;54;2,02677E+12;4650;1000;;
Banzaron;Костюмы;121905050;Ban-spkost-let-черный;71712245;Черный;56;2,02677E+12;4650;1000;;
Banzaron;Свитеры;110492361;ban-svitсерый;62559166;Серый;46;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492362;ban-svitсерый;62559166;Серый;48;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492363;ban-svitсерый;62559166;Серый;50;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492364;ban-svitсерый;62559166;Серый;52;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492365;ban-svitсерый;62559166;Серый;54;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492366;ban-svitсиний;62559167;Синий;46;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492367;ban-svitсиний;62559167;Синий;48;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492368;ban-svitсиний;62559167;Синий;50;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492369;ban-svitсиний;62559167;Синий;52;2,02013E+12;2417;600;;
Banzaron;Свитеры;110492370;ban-svitсиний;62559167;Синий;54;2,02013E+12;2417;600;;
Banzaron;Пальто;88075318;banz-coatсерый;44633750;Серый;44;2,01112E+12;10745;4500;;
Banzaron;Пальто;88075319;banz-coatсерый;44633750;Серый;46;2,01112E+12;10745;4500;;
Banzaron;Пальто;88075320;banz-coatсерый;44633750;Серый;48;2,01112E+12;10745;4500;;
Banzaron;Пальто;88075321;banz-coatсерый;44633750;Серый;50;2,01112E+12;10745;4500;;
Banzaron;Пальто;88075322;banz-coatсерый;44633750;Серый;52;2,01112E+12;10745;4500;;
Banzaron;Пальто;87923500;banz-coatсиний;44521942;Синий;44;2,01107E+12;10745;4500;;
Banzaron;Пальто;87923501;banz-coatсиний;44521942;Синий;46;2,01107E+12;10745;4500;;
Banzaron;Пальто;87923502;banz-coatсиний;44521942;Синий;48;2,01107E+12;10745;4500;;
Banzaron;Пальто;87923503;banz-coatсиний;44521942;Синий;50;2,01107E+12;10745;4500;;
Banzaron;Пальто;87923504;banz-coatсиний;44521942;Синий;52;2,01107E+12;10745;4500;;
Banzaron;Водолазки;87767043;banz-neckбордо;44403651;Бордовый;L;2,01099E+12;1975;250;;
Banzaron;Водолазки;87768105;banz-neckсерый;44404329;Синий;L;2,01099E+12;1975;250;;
Banzaron;Водолазки;87768106;banz-neckсерый;44404329;Синий;M;2,01099E+12;1975;250;;
Banzaron;Водолазки;87767334;banz-neckсиний;44403862;Синий;L;2,01099E+12;1975;250;;
Banzaron;Водолазки;87767335;banz-neckсиний;44403862;Синий;M;2,01099E+12;1975;250;;
Banzaron;Водолазки;87766844;banz-neckчерный;44403536;Черный;L;2,01099E+12;1975;250;;
Banzaron;Водолазки;87766845;banz-neckчерный;44403536;Черный;M;2,01099E+12;1975;250;;
Banzaron;Толстовки;95941995;Banz-ninсерый;50431412;Серый;L;2,01466E+12;3363;650;;
Banzaron;Толстовки;95941996;Banz-ninсерый;50431412;Серый;M;2,01466E+12;3363;650;;
Banzaron;Толстовки;95941997;Banz-ninсерый;50431412;Серый;S;2,01466E+12;3363;650;;
Banzaron;Толстовки;95941998;Banz-ninсерый;50431412;Серый;XL;2,01466E+12;3363;650;;
Banzaron;Толстовки;95941999;Banz-ninсерый;50431412;Серый;XXL;2,01466E+12;3363;650;;
Banzaron;Толстовки;101508752;Banz-ninсиний;55009170;Синий;L;2,01709E+12;2744;650;;
Banzaron;Толстовки;101508753;Banz-ninсиний;55009170;Синий;M;2,01709E+12;2744;650;;
Banzaron;Толстовки;101508754;Banz-ninсиний;55009170;Синий;S;2,01709E+12;2744;650;;
Banzaron;Толстовки;101508755;Banz-ninсиний;55009170;Синий;XL;2,01709E+12;2744;650;;
Banzaron;Толстовки;101508756;Banz-ninсиний;55009170;Синий;XXL;2,01709E+12;2744;650;;
Banzaron;Толстовки;95938596;Banz-ninчерный;50428729;Черный;L;2,01466E+12;3363;650;;
Banzaron;Толстовки;95938597;Banz-ninчерный;50428729;Черный;M;2,01466E+12;3363;650;;
Banzaron;Толстовки;95938598;Banz-ninчерный;50428729;Черный;S;2,01466E+12;3363;650;;
Banzaron;Толстовки;95938599;Banz-ninчерный;50428729;Черный;XL;2,01466E+12;3363;650;;
Banzaron;Толстовки;95938600;Banz-ninчерный;50428729;Черный;XXL;2,01466E+12;3363;650;;
Banzaron;Худи;92304759;Banz-tolчерный;47687985;Черный;L;2,01341E+12;2475;650;;
Banzaron;Худи;92304760;Banz-tolчерный;47687985;Черный;M;2,01341E+12;2475;650;;
Banzaron;Худи;92304761;Banz-tolчерный;47687985;Черный;S;2,01341E+12;2475;650;;
Banzaron;Худи;92304762;Banz-tolчерный;47687985;Черный;XL;2,01341E+12;2475;650;;
Femamore;Юбки;92574500;F-skirtкоричневый;47895156;Коричневый;40;2,01349E+12;1918;600;;
Femamore;Юбки;92574501;F-skirtкоричневый;47895156;Коричневый;42;2,01349E+12;1918;600;;
Femamore;Юбки;92574502;F-skirtкоричневый;47895156;Коричневый;44;2,01349E+12;1918;600;;
Femamore;Юбки;92574503;F-skirtкоричневый;47895156;Коричневый;46;2,01349E+12;1918;600;;
Femamore;Юбки;92574504;F-skirtкоричневый;47895156;Коричневый;48;2,01349E+12;1918;600;;
Femamore;Юбки;92574505;F-skirtкоричневый;47895156;Коричневый;50;2,01349E+12;1918;600;;
Femamore;Юбки;87051528;F-skirtчерный;43864027;Черный;40;2,01021E+12;1892;600;;
Femamore;Юбки;87051529;F-skirtчерный;43864027;Черный;42;2,01021E+12;1892;600;;
Femamore;Юбки;87051530;F-skirtчерный;43864027;Черный;44;2,01021E+12;1892;600;;
Femamore;Юбки;87051531;F-skirtчерный;43864027;Черный;46;2,01021E+12;1892;600;;
Femamore;Юбки;87051532;F-skirtчерный;43864027;Черный;48;2,01021E+12;1892;600;;
Femamore;Юбки;87051533;F-skirtчерный;43864027;Черный;50;2,01021E+12;1892;600;;
